,name,IoU Metric
168,IMG_01021,0.0
169,IMG_00959,0.03423137876386688
170,IMG_01052,0.9746469287051217
171,IMG_01963,0.9826709670365714
172,IMG_01090,0.988292778907326
173,IMG_01360,0.989817564700891
174,IMG_01603,0.9816527243952069
175,IMG_00775,0.5657131515935311
176,IMG_00724,0.12848845228425618
177,IMG_01004,0.07264026736884747
178,IMG_01471,0.9905852072609049
179,IMG_00603,0.09623280071016423
180,IMG_01885,0.9851660536564258
181,IMG_00098,0.9805658563384151
182,IMG_00590,0.4817951824984853
183,IMG_01830,0.3937188157598698
184,IMG_01767,0.9893908102611412
185,IMG_02326,0.9877258051604985
186,IMG_00363,0.9868175388967468
187,IMG_00798,0.3680065267187549
188,IMG_00706,0.10944935418082936
189,IMG_01537,0.9846948916716358
190,IMG_02065,0.9895470383275261
191,IMG_01221,0.0061244649324991764
192,IMG_00014,0.9850691357267682
193,IMG_00791,0.4947930740609865
194,IMG_02012,0.9787962811939325
195,IMG_00796,0.43970664170915896
196,IMG_01971,0.9822681464472509
197,IMG_01836,0.6154908491649935
198,IMG_01658,0.985723503790934
199,IMG_00744,0.4912744718990545
200,IMG_00116,0.9883587817029715
201,IMG_01602,0.9844883281526178
202,IMG_00669,0.0
203,IMG_01896,0.46422649473092786
204,IMG_01708,0.9889929106882399
205,IMG_00534,0.9803815736981673
206,IMG_02300,0.9858844238460767
207,IMG_00362,0.9812416797773206
208,IMG_00615,0.1995530980154522
209,IMG_02309,0.9889669239505829
210,IMG_00583,0.9889555835071462
211,IMG_01462,0.978240811932954
212,IMG_00578,0.9908572238562671
213,IMG_01921,0.978233729577159
214,IMG_01961,0.9716088328075709
215,IMG_01359,0.9898154914139569
216,IMG_01285,0.9825478343862201
217,IMG_01864,0.9900303854785216
218,IMG_02361,0.9922590372522341
219,IMG_01311,0.9893024292400268
220,IMG_02478,0.9862354640115528
221,IMG_01352,0.9854261740026498
222,IMG_01108,0.9862597580759306
223,IMG_00688,0.4979919678714859
224,IMG_01478,0.9855528801629931
225,IMG_00895,0.35296625654769154
226,IMG_00145,0.9857308584686775
227,IMG_01898,0.9788020848498966
228,IMG_00558,0.9941862234803519
229,IMG_00719,0.6582014987510408
230,IMG_00478,0.9942374851817778
231,IMG_00841,0.4221559281738276
232,IMG_00770,0.44380156621451544
233,IMG_01647,0.24767212189616253
234,IMG_01818,0.9846955603931657
235,IMG_00611,0.2465558781738432
236,IMG_01978,0.05125008657109218
237,IMG_00047,0.9796112804878049
238,IMG_00544,0.9890989871208314
239,IMG_01327,0.9803354540196646
240,IMG_01849,0.5335972440468996
241,IMG_01433,0.9847114556416882
242,IMG_01079,0.0
243,IMG_00454,0.9827809120827457
244,IMG_00935,0.3187483861881176
245,IMG_01784,0.2592964687673948
246,IMG_00776,0.49188940839436773
247,IMG_00053,0.9893617021276596
248,IMG_01524,0.9816247243708656
249,IMG_01696,0.9914779827060529
250,IMG_01119,0.9868295400286488
251,IMG_00086,0.40537370721825355
252,IMG_00120,0.9802107980210798
253,IMG_01388,0.986212516297262
254,IMG_01572,0.979156722354813
255,IMG_00970,0.23457735858090153
256,IMG_01742,0.9843134842519685
257,IMG_00818,0.23977379396131232
258,IMG_01483,0.9908784453698195
259,IMG_00803,0.34227137640758626
260,IMG_01678,0.990087634323819
261,IMG_00127,0.9881943464559522
262,IMG_02060,0.9927372509402667
263,IMG_01049,0.9798418120826025
264,IMG_00379,0.9885654008438819
265,IMG_01548,0.9723398826231181
266,IMG_01276,0.0172543135783946
267,IMG_02298,0.9852488652973306
268,IMG_00548,0.9918893018254914
269,IMG_01278,0.98004149080764
270,IMG_00588,0.9909482224151064
271,IMG_02020,0.9680579216354344
272,IMG_01551,0.9888797563216167
273,IMG_01178,0.9873758681118971
274,IMG_01173,0.2679052544212475
275,IMG_01205,0.9778741113230449
276,IMG_02489,0.9859922776534596
277,IMG_00183,0.9816920322291853
278,IMG_01094,0.017480741555912976
279,IMG_01852,0.992321935697569
280,IMG_01212,0.06084982160233539
281,IMG_00383,0.40798327562553083
282,IMG_01098,0.4630012725945851
283,IMG_00085,0.9801426643531906
284,IMG_00996,0.0
285,IMG_01848,0.9900565961039367
286,IMG_01174,0.9853315453873731
287,IMG_00153,0.18385650224215247
288,IMG_02123,0.9841154541965901
289,IMG_02397,0.9883224377899621
290,IMG_00589,0.1720664752695358
291,IMG_02368,0.987227225952919
292,IMG_01829,0.9914028484982658
293,IMG_02536,0.9856055336579334
294,IMG_00488,0.989166106520106
295,IMG_00635,0.2883303073937269
296,IMG_01592,0.9817287420941673
297,IMG_02073,0.4983163596297021
298,IMG_01176,0.9848357439174795
299,IMG_01210,0.9815011977641735
300,IMG_00042,0.9828821464634322
301,IMG_00991,0.543121387283237
302,IMG_00369,0.9854987341772152
303,IMG_00475,0.9858959605795049
304,IMG_01890,0.9881463419631789
305,IMG_00518,0.9848900530778245
306,IMG_01015,0.29574149368713887
307,IMG_02310,0.9913341060882045
308,IMG_00167,0.9886951911682156
309,IMG_02360,0.9850907099577806
310,IMG_00031,0.977021524141943
311,IMG_00347,0.9887663294871143
312,IMG_02352,0.476381312539741
313,IMG_01345,0.9786886276482052
314,IMG_00380,0.9871344515675771
315,IMG_01530,0.9863632939049197
316,IMG_01601,0.9880296474437951
317,IMG_02551,0.9842879097185586
318,IMG_01044,0.0
319,IMG_00709,0.0057296066404671836
320,IMG_02507,0.21845222555802116
321,IMG_01624,0.9867896223085069
322,IMG_00013,0.972814294830887
323,IMG_00337,0.9889565074367349
324,IMG_00019,0.10029145803751588
325,IMG_00538,0.988537804464569
326,IMG_01952,0.33683167162264593
327,IMG_01484,0.9871135997545447
328,IMG_02433,0.9888734122641196
329,IMG_02409,0.30561589214876456
